transactionID,storeID,date,state,season,temperature,weather_condition,category,is_holiday,total_amount,profit_margin,items_count,payment_method,customer_type
TXN009968,ST005,1/2/23,IL,Winter,2.5,Snow,Holiday Decorations,FALSE,100.93,0.1838,14,Cash,Regular
TXN004850,ST003,1/2/23,NY,Winter,3.9,Cool,Winter Clothing,FALSE,220.7,0.1755,13,Credit Card,Regular
TXN004304,ST002,1/2/23,TX,Winter,13.5,Clear,Snow Equipment,FALSE,70.79,0.2233,14,Cash,Regular
TXN000068,ST004,1/2/23,FL,Winter,-3.3,Snow,School Supplies,FALSE,102.33,0.2613,6,Debit Card,Regular
TXN007411,ST004,1/2/23,FL,Winter,5,Partly Cloudy,Holiday Decorations,FALSE,82.42,0.2435,3,Credit Card,Regular
TXN001153,ST001,1/2/23,CA,Winter,1.8,Clear,Halloween Items,FALSE,53.61,0.1668,14,Debit Card,Regular
TXN008178,ST004,1/2/23,FL,Winter,3.2,Cloudy,Fall Clothing,FALSE,112.46,0.2772,4,Debit Card,Regular
TXN006382,ST004,1/2/23,FL,Winter,6.6,Partly Cloudy,Heaters,FALSE,162.29,0.2864,3,Debit Card,Premium
TXN009889,ST001,1/2/23,CA,Winter,13.7,Mild,Summer Clothing,FALSE,131.87,0.1923,10,Cash,Regular
TXN009458,ST003,1/2/23,NY,Winter,17.9,Mild,Home Decor,FALSE,67.66,0.2445,12,Credit Card,Premium
TXN009899,ST001,1/2/23,CA,Winter,15.6,Mild,Hot Beverages,FALSE,37.83,0.2017,5,Credit Card,New
TXN006326,ST004,1/2/23,FL,Winter,7.4,Cool,Winter Clothing,FALSE,89.37,0.229,4,Debit Card,Regular
TXN003288,ST005,1/2/23,IL,Winter,-1.7,Cold,Heaters,FALSE,82.09,0.185,7,Credit Card,Regular
TXN003138,ST003,1/2/23,NY,Winter,-4.5,Cloudy,Snow Equipment,FALSE,145.43,0.1603,4,Debit Card,Regular
TXN007442,ST005,1/2/23,IL,Winter,8.2,Cold,Snow Equipment,FALSE,166.23,0.2702,3,Debit Card,Regular
TXN007864,ST003,1/2/23,NY,Winter,-4.8,Cold,Snow Equipment,FALSE,58.81,0.2131,2,Credit Card,Premium
TXN000049,ST004,1/2/23,FL,Winter,-3.7,Cloudy,Snow Equipment,FALSE,161.96,0.2753,10,Debit Card,Regular
TXN006726,ST004,1/3/23,FL,Winter,11.2,Rain,Fall Clothing,FALSE,110.11,0.2771,8,Credit Card,Regular
TXN002575,ST005,1/3/23,IL,Winter,7.4,Cool,Hot Beverages,FALSE,51.82,0.2587,11,Debit Card,Regular
TXN001784,ST004,1/3/23,FL,Winter,-4.4,Cold,Snow Equipment,FALSE,72.89,0.2605,1,Digital Wallet,Premium
TXN001329,ST001,1/3/23,CA,Winter,17.9,Rain,Snow Equipment,FALSE,125.24,0.1819,6,Credit Card,Regular
TXN007264,ST002,1/3/23,TX,Winter,-0.3,Cloudy,Swimming Gear,FALSE,102.56,0.2412,13,Credit Card,Premium
TXN001856,ST001,1/3/23,CA,Winter,9.2,Clear,Holiday Decorations,FALSE,67,0.1806,5,Cash,Premium
TXN002522,ST004,1/3/23,FL,Winter,12.6,Sunny,Holiday Decorations,FALSE,68.92,0.2677,5,Credit Card,Regular
TXN006176,ST001,1/3/23,CA,Winter,15.7,Partly Cloudy,Snow Equipment,FALSE,87.11,0.1924,7,Credit Card,Regular
TXN007155,ST005,1/3/23,IL,Winter,1.2,Clear,Heaters,FALSE,58.73,0.233,6,Digital Wallet,Regular
TXN002129,ST002,1/3/23,TX,Winter,9.2,Clear,Snow Equipment,FALSE,121.19,0.2119,12,Credit Card,New
TXN009326,ST001,1/3/23,CA,Winter,6.1,Clear,Holiday Decorations,FALSE,59.99,0.1579,6,Credit Card,Regular
TXN006969,ST003,1/3/23,NY,Winter,1.8,Cloudy,Snow Equipment,FALSE,73.14,0.1656,13,Debit Card,Regular
TXN002511,ST003,1/3/23,NY,Winter,9.6,Rain,Heaters,FALSE,52.14,0.2082,5,Credit Card,Regular
TXN001780,ST004,1/3/23,FL,Winter,0.8,Snow,Heaters,FALSE,69.08,0.291,3,Credit Card,Premium
TXN009087,ST002,1/3/23,TX,Winter,6.2,Sunny,Snow Equipment,FALSE,76.38,0.2373,4,Debit Card,Premium
TXN008545,ST001,1/3/23,CA,Winter,6.6,Cool,Garden Tools,FALSE,46.29,0.1842,9,Digital Wallet,Regular
TXN005809,ST003,1/3/23,NY,Winter,11.5,Rain,Snow Equipment,FALSE,176.67,0.1912,6,Debit Card,Regular
TXN009977,ST005,1/3/23,IL,Winter,8.2,Cloudy,Snow Equipment,FALSE,91.97,0.2204,7,Debit Card,Regular
TXN006873,ST004,1/3/23,FL,Winter,4.6,Cloudy,Hot Beverages,FALSE,39.73,0.2465,8,Debit Card,Premium
TXN004181,ST004,1/3/23,FL,Winter,8.9,Cold,Winter Clothing,FALSE,87.31,0.2257,3,Cash,Premium
TXN008629,ST003,1/3/23,NY,Winter,16.6,Mild,Holiday Decorations,FALSE,67.25,0.2269,9,Credit Card,Regular
TXN003680,ST001,1/3/23,CA,Winter,14.9,Rain,Snow Equipment,FALSE,118.73,0.2205,8,Credit Card,Premium
TXN005963,ST001,1/3/23,CA,Winter,10.7,Partly Cloudy,Garden Tools,FALSE,62.56,0.1781,1,Credit Card,Premium
TXN003986,ST003,1/4/23,NY,Winter,3.4,Snow,Winter Clothing,FALSE,49.19,0.1566,10,Debit Card,Premium
TXN009031,ST001,1/4/23,CA,Winter,8.1,Mild,Hot Beverages,FALSE,143.59,0.1627,4,Debit Card,Regular
TXN009564,ST002,1/4/23,TX,Winter,4.3,Partly Cloudy,Sunscreen,FALSE,40.31,0.2662,10,Debit Card,New
TXN007773,ST001,1/4/23,CA,Winter,-3,Cloudy,Snow Equipment,FALSE,127.18,0.1723,10,Digital Wallet,Regular
TXN006151,ST005,1/4/23,IL,Winter,10.8,Cool,Winter Clothing,FALSE,143.3,0.2247,11,Credit Card,Regular
TXN007761,ST001,1/4/23,CA,Winter,15.9,Rain,Fall Clothing,FALSE,176.76,0.2315,10,Digital Wallet,Premium
TXN008843,ST003,1/4/23,NY,Winter,10.3,Cool,Snow Equipment,FALSE,109.46,0.1544,6,Digital Wallet,Regular
TXN002102,ST002,1/4/23,TX,Winter,7,Clear,Hot Beverages,FALSE,50.68,0.2104,1,Digital Wallet,Regular
TXN001937,ST002,1/4/23,TX,Winter,12.4,Cool,Hot Beverages,FALSE,105.2,0.2392,5,Credit Card,Regular
TXN006240,ST003,1/4/23,NY,Winter,-1.2,Cold,Holiday Decorations,FALSE,45.97,0.199,2,Debit Card,New
TXN007325,ST005,1/4/23,IL,Winter,3.1,Snow,Garden Tools,FALSE,146.83,0.2671,6,Credit Card,Regular
TXN005297,ST003,1/4/23,NY,Winter,-1.3,Snow,Heaters,FALSE,130.06,0.1502,9,Credit Card,Regular
TXN007129,ST001,1/4/23,CA,Winter,21.7,Clear,Hot Beverages,FALSE,98.51,0.183,13,Cash,Premium
TXN008514,ST004,1/4/23,FL,Winter,4,Rain,Winter Clothing,FALSE,110.95,0.2278,2,Cash,Regular
TXN000144,ST004,1/4/23,FL,Winter,7.6,Clear,Heaters,FALSE,88.19,0.2632,12,Credit Card,Premium
TXN006898,ST002,1/4/23,TX,Winter,0,Snow,Winter Clothing,FALSE,73.75,0.2481,12,Digital Wallet,Regular
TXN005729,ST001,1/4/23,CA,Winter,10.4,Clear,Snow Equipment,FALSE,184.53,0.1784,4,Cash,Premium
TXN006609,ST002,1/4/23,TX,Winter,7.5,Clear,Heaters,FALSE,60.12,0.2497,13,Debit Card,Regular
TXN003031,ST004,1/4/23,FL,Winter,18.7,Mild,Winter Clothing,FALSE,80.37,0.2867,5,Cash,Regular
TXN005860,ST004,1/4/23,FL,Winter,15.2,Partly Cloudy,Holiday Decorations,FALSE,163,0.2608,6,Credit Card,New
TXN001037,ST003,1/4/23,NY,Winter,5.8,Cold,Hot Beverages,FALSE,88.21,0.2094,3,Cash,Regular
TXN008449,ST005,1/4/23,IL,Winter,11.3,Cloudy,Heaters,FALSE,79.61,0.2171,8,Credit Card,New
TXN004162,ST003,1/4/23,NY,Winter,0,Cloudy,Rain Gear,FALSE,50.39,0.1624,14,Credit Card,Regular
TXN002205,ST005,1/4/23,IL,Winter,5.4,Cool,Snow Equipment,FALSE,164.24,0.2498,5,Credit Card,Regular
TXN006727,ST002,1/4/23,TX,Winter,12.8,Mild,Hot Beverages,FALSE,64.36,0.253,14,Debit Card,Regular
TXN006222,ST004,1/4/23,FL,Winter,-0.3,Cloudy,Snow Equipment,FALSE,217.78,0.2761,2,Debit Card,Regular
TXN000828,ST002,1/4/23,TX,Winter,4.5,Snow,Yard Tools,FALSE,84.03,0.2361,11,Digital Wallet,Premium
TXN005551,ST005,1/5/23,IL,Winter,8.5,Cool,Snow Equipment,FALSE,122.21,0.2608,4,Credit Card,Regular
TXN006476,ST002,1/5/23,TX,Winter,10.8,Sunny,Hot Beverages,FALSE,46.06,0.2786,14,Credit Card,Regular
TXN006162,ST005,1/5/23,IL,Winter,17.3,Partly Cloudy,Snow Equipment,FALSE,159.64,0.2763,8,Credit Card,New
TXN001296,ST001,1/5/23,CA,Winter,17.1,Clear,Snow Equipment,FALSE,181.9,0.2313,14,Debit Card,Premium
TXN000507,ST004,1/5/23,FL,Winter,-1,Clear,Summer Clothing,FALSE,189.31,0.223,9,Credit Card,Premium
TXN002726,ST001,1/5/23,CA,Winter,-0.6,Cold,Home Decor,FALSE,43.52,0.1538,7,Cash,Regular
TXN006322,ST005,1/5/23,IL,Winter,12.1,Cool,Snow Equipment,FALSE,143.52,0.2149,6,Debit Card,Regular
TXN004507,ST005,1/5/23,IL,Winter,-0.5,Snow,Winter Clothing,FALSE,52.43,0.1881,10,Credit Card,Regular
TXN003590,ST001,1/5/23,CA,Winter,9.2,Cool,Winter Clothing,FALSE,301.36,0.2086,12,Credit Card,Premium
TXN000247,ST001,1/5/23,CA,Winter,3.9,Cool,Heaters,FALSE,40.37,0.1933,9,Credit Card,Regular
TXN000689,ST003,1/5/23,NY,Winter,7.4,Clear,Winter Clothing,FALSE,101.96,0.1682,9,Debit Card,Regular
TXN008613,ST001,1/5/23,CA,Winter,-2.4,Cold,Holiday Decorations,FALSE,37.44,0.2446,14,Debit Card,Regular
TXN004281,ST002,1/5/23,TX,Winter,7.2,Cloudy,Winter Clothing,FALSE,117.79,0.2903,2,Credit Card,New
TXN007577,ST004,1/5/23,FL,Winter,11.8,Cool,Heaters,FALSE,25.34,0.2671,12,Debit Card,Regular
TXN003533,ST001,1/5/23,CA,Winter,10.1,Sunny,School Supplies,FALSE,71.65,0.2139,12,Credit Card,Premium
TXN001646,ST002,1/5/23,TX,Winter,10.7,Clear,Hot Beverages,FALSE,90.5,0.2732,6,Digital Wallet,Regular
TXN002328,ST002,1/5/23,TX,Winter,4.9,Cold,Fall Clothing,FALSE,70.28,0.2247,12,Debit Card,Premium
TXN001989,ST002,1/5/23,TX,Winter,4.4,Clear,Holiday Decorations,FALSE,86.67,0.2759,11,Credit Card,Regular
TXN005251,ST005,1/6/23,IL,Winter,14.1,Rain,Winter Clothing,FALSE,52.96,0.2295,9,Credit Card,Premium
TXN001183,ST002,1/6/23,TX,Winter,-3.1,Cold,Winter Clothing,FALSE,122.18,0.2367,10,Credit Card,Regular
TXN002549,ST003,1/6/23,NY,Winter,7.8,Cold,Hot Beverages,FALSE,37.03,0.1926,11,Credit Card,Regular
TXN007626,ST005,1/6/23,IL,Winter,12.2,Partly Cloudy,Snow Equipment,FALSE,59.76,0.2437,11,Credit Card,Premium
TXN006040,ST001,1/6/23,CA,Winter,21.6,Clear,Hot Beverages,FALSE,98.71,0.2132,4,Cash,Regular
TXN003067,ST002,1/6/23,TX,Winter,4.4,Cool,Holiday Decorations,FALSE,38.37,0.2965,12,Debit Card,Regular
TXN002163,ST002,1/6/23,TX,Winter,-5,Clear,Air Conditioners,FALSE,29.89,0.2965,14,Debit Card,Regular
TXN008610,ST001,1/6/23,CA,Winter,-1.4,Clear,Winter Clothing,FALSE,154.38,0.1976,3,Credit Card,Premium
TXN002241,ST005,1/6/23,IL,Winter,13.9,Partly Cloudy,Swimming Gear,FALSE,99.74,0.22,6,Debit Card,Premium
TXN007631,ST002,1/6/23,TX,Winter,0.6,Cold,Winter Clothing,FALSE,57.93,0.2454,6,Cash,Regular
TXN004607,ST004,1/6/23,FL,Winter,-1.8,Clear,Outdoor Furniture,FALSE,75.37,0.2955,7,Cash,Regular
TXN002481,ST005,1/6/23,IL,Winter,-3.4,Cloudy,Holiday Decorations,FALSE,107.75,0.2201,11,Credit Card,Regular
TXN003503,ST002,1/6/23,TX,Winter,-3.9,Snow,Snow Equipment,FALSE,104.15,0.2687,1,Debit Card,Regular
TXN006923,ST001,1/6/23,CA,Winter,-3,Clear,Halloween Items,FALSE,55.2,0.2464,13,Credit Card,Premium
TXN006225,ST002,1/6/23,TX,Winter,7.5,Rain,Heaters,FALSE,76.45,0.2895,12,Credit Card,Regular
TXN008195,ST004,1/6/23,FL,Winter,3.3,Cloudy,Snow Equipment,FALSE,57.42,0.2416,2,Debit Card,Premium
TXN007000,ST005,1/6/23,IL,Winter,12.2,Sunny,Heaters,FALSE,57.96,0.2435,5,Credit Card,New
TXN008019,ST004,1/6/23,FL,Winter,1.7,Cloudy,Rain Gear,FALSE,36.44,0.2426,5,Debit Card,Regular
TXN004567,ST004,1/6/23,FL,Winter,-0.6,Cloudy,Air Conditioners,FALSE,96.98,0.2536,4,Credit Card,New
TXN004571,ST001,1/6/23,CA,Winter,5.9,Clear,Winter Clothing,FALSE,132.15,0.1786,6,Credit Card,New
TXN001544,ST003,1/6/23,NY,Winter,7,Snow,Fall Clothing,FALSE,103.29,0.173,9,Credit Card,Regular
TXN007812,ST001,1/6/23,CA,Winter,-4,Clear,Swimming Gear,FALSE,78.59,0.1897,4,Credit Card,Regular
TXN007041,ST001,1/6/23,CA,Winter,5,Clear,Snow Equipment,FALSE,112.45,0.2098,8,Credit Card,Regular
TXN004608,ST001,1/6/23,CA,Winter,-0.1,Cold,Hot Beverages,FALSE,78.21,0.2063,4,Credit Card,Premium
TXN005870,ST002,1/6/23,TX,Winter,18.3,Clear,Heaters,FALSE,48.26,0.2917,3,Debit Card,Premium
TXN008441,ST004,1/6/23,FL,Winter,11.5,Clear,Snow Equipment,FALSE,148.25,0.2864,4,Cash,Regular
TXN009249,ST005,1/6/23,IL,Winter,-0.4,Cold,Winter Clothing,FALSE,93.8,0.1812,4,Digital Wallet,Regular
TXN007541,ST002,1/7/23,TX,Winter,9.2,Cool,Rain Gear,FALSE,42.84,0.2688,14,Debit Card,New
TXN008289,ST004,1/7/23,FL,Winter,3.8,Cold,Snow Equipment,FALSE,172.52,0.2832,11,Debit Card,Regular
TXN009971,ST004,1/7/23,FL,Winter,-2.1,Cloudy,Hot Beverages,FALSE,48.63,0.243,5,Cash,Regular
TXN004327,ST005,1/7/23,IL,Winter,3.9,Cold,Fall Clothing,FALSE,109.51,0.2139,5,Credit Card,Regular
TXN004815,ST005,1/7/23,IL,Winter,1.9,Cold,Heaters,FALSE,31.33,0.211,5,Credit Card,Premium
TXN002260,ST002,1/7/23,TX,Winter,19.6,Clear,Sunscreen,FALSE,61.67,0.2281,9,Digital Wallet,Regular
TXN009695,ST003,1/7/23,NY,Winter,0,Cloudy,Holiday Decorations,FALSE,109.15,0.232,6,Digital Wallet,Premium
TXN006719,ST004,1/7/23,FL,Winter,-2.8,Cloudy,Winter Clothing,FALSE,70.07,0.2724,5,Debit Card,Premium
TXN007089,ST001,1/7/23,CA,Winter,9.8,Partly Cloudy,Heaters,FALSE,59.25,0.247,1,Credit Card,Regular
TXN006175,ST002,1/7/23,TX,Winter,-3.7,Cold,Holiday Decorations,FALSE,110.32,0.2201,13,Debit Card,Premium
TXN006312,ST005,1/7/23,IL,Winter,0.1,Snow,Snow Equipment,FALSE,46.72,0.267,2,Credit Card,Regular
TXN009641,ST002,1/7/23,TX,Winter,3.8,Cool,Snow Equipment,FALSE,177.63,0.2868,13,Debit Card,Regular
TXN003162,ST003,1/7/23,NY,Winter,11.5,Clear,School Supplies,FALSE,80.03,0.1743,7,Credit Card,Regular
TXN005777,ST001,1/7/23,CA,Winter,-3.1,Clear,Holiday Decorations,FALSE,153.41,0.2313,5,Cash,Premium
TXN009154,ST001,1/7/23,CA,Winter,4,Cool,Cleaning Supplies,FALSE,47.52,0.1523,4,Digital Wallet,Regular
TXN009038,ST002,1/7/23,TX,Winter,2.3,Clear,Garden Tools,FALSE,112.09,0.2751,14,Debit Card,Regular
TXN005639,ST004,1/7/23,FL,Winter,9,Clear,Snow Equipment,FALSE,105.44,0.2676,10,Digital Wallet,Regular
TXN000851,ST005,1/7/23,IL,Winter,2.2,Cool,Snow Equipment,FALSE,142.34,0.2776,4,Cash,Regular
TXN005858,ST003,1/7/23,NY,Winter,8.6,Cool,Garden Tools,FALSE,122.65,0.2023,9,Credit Card,Premium
TXN002082,ST005,1/7/23,IL,Winter,5.1,Snow,Air Conditioners,FALSE,25.33,0.2121,1,Credit Card,Premium
TXN003660,ST001,1/7/23,CA,Winter,-2.6,Cloudy,Holiday Decorations,FALSE,78.97,0.2275,11,Credit Card,Regular
TXN009503,ST003,1/7/23,NY,Winter,-3.5,Cloudy,Outdoor Furniture,FALSE,99.63,0.1769,3,Debit Card,Premium
TXN001255,ST005,1/7/23,IL,Winter,2.5,Cool,Hot Beverages,FALSE,53.9,0.2522,4,Credit Card,Regular
TXN008044,ST001,1/7/23,CA,Winter,9.5,Clear,Heaters,FALSE,38.48,0.1856,7,Debit Card,Regular
TXN009255,ST004,1/8/23,FL,Winter,-4.5,Cold,Hot Beverages,FALSE,71.05,0.2852,13,Credit Card,Premium
TXN009622,ST003,1/8/23,NY,Winter,3.3,Partly Cloudy,Hot Beverages,FALSE,59.18,0.1503,12,Credit Card,Regular
TXN004322,ST001,1/8/23,CA,Winter,14.5,Cool,Winter Clothing,FALSE,72.27,0.1681,2,Debit Card,Regular
TXN001981,ST004,1/8/23,FL,Winter,1.3,Snow,Hot Beverages,FALSE,65.05,0.2525,7,Cash,Regular
TXN000697,ST002,1/8/23,TX,Winter,19.4,Rain,Sunscreen,FALSE,88.02,0.2835,14,Credit Card,Regular
TXN002774,ST004,1/8/23,FL,Winter,-2.5,Snow,Heaters,FALSE,65.22,0.2796,12,Credit Card,Premium
TXN002412,ST003,1/8/23,NY,Winter,6.8,Clear,Holiday Decorations,FALSE,39.74,0.1774,4,Debit Card,Regular
TXN000673,ST004,1/8/23,FL,Winter,7.1,Rain,Air Conditioners,FALSE,45.51,0.2433,5,Digital Wallet,Regular
TXN009500,ST005,1/8/23,IL,Winter,-2,Cloudy,Hot Beverages,FALSE,44.3,0.2216,7,Debit Card,Regular
TXN002338,ST005,1/8/23,IL,Winter,-4.4,Snow,Heaters,FALSE,136.74,0.2518,7,Debit Card,Regular
TXN002629,ST001,1/8/23,CA,Winter,4.6,Cold,Holiday Decorations,FALSE,33.6,0.2186,7,Digital Wallet,New
TXN008612,ST003,1/8/23,NY,Winter,15,Sunny,Winter Clothing,FALSE,83.53,0.2231,8,Cash,Premium
TXN000034,ST003,1/8/23,NY,Winter,11.4,Clear,Snow Equipment,FALSE,148.74,0.1801,8,Credit Card,Regular
TXN002991,ST005,1/8/23,IL,Winter,0.3,Clear,Winter Clothing,FALSE,22.42,0.2449,10,Debit Card,Regular
TXN004866,ST002,1/8/23,TX,Winter,4.3,Cold,Hot Beverages,FALSE,131.38,0.2829,2,Digital Wallet,Regular
TXN006684,ST003,1/8/23,NY,Winter,14.6,Partly Cloudy,Yard Tools,FALSE,55.8,0.1762,6,Cash,Premium
TXN003203,ST002,1/8/23,TX,Winter,4.6,Cloudy,Hot Beverages,FALSE,76.05,0.2554,9,Cash,Premium
TXN003237,ST002,1/8/23,TX,Winter,-1.9,Clear,Air Conditioners,FALSE,64.18,0.2705,11,Credit Card,Regular
TXN002066,ST001,1/8/23,CA,Winter,-2.1,Cold,Winter Clothing,FALSE,116.74,0.2288,12,Debit Card,Regular
TXN000827,ST004,1/8/23,FL,Winter,9.9,Cool,Holiday Decorations,FALSE,89.26,0.2887,14,Credit Card,Premium
TXN004560,ST004,1/8/23,FL,Winter,4.7,Cold,Winter Clothing,FALSE,69.12,0.229,8,Digital Wallet,Regular
TXN005201,ST003,1/8/23,NY,Winter,6.7,Cold,Sunscreen,FALSE,71.37,0.2152,4,Cash,Regular
TXN000433,ST003,1/8/23,NY,Winter,11.9,Rain,Holiday Decorations,FALSE,72.75,0.1633,7,Credit Card,Premium
TXN001435,ST005,1/8/23,IL,Winter,5.7,Partly Cloudy,Holiday Decorations,FALSE,87.56,0.232,5,Credit Card,Premium
TXN004404,ST003,1/8/23,NY,Winter,3.5,Rain,Winter Clothing,FALSE,125.79,0.223,10,Debit Card,Regular
TXN004680,ST002,1/8/23,TX,Winter,7.9,Partly Cloudy,Heaters,FALSE,48.06,0.2019,13,Credit Card,New
TXN008918,ST001,1/8/23,CA,Winter,8.9,Cool,Heaters,FALSE,47.1,0.1558,11,Debit Card,Regular
TXN004789,ST001,1/8/23,CA,Winter,-3.8,Cold,Summer Clothing,FALSE,71.25,0.1792,6,Credit Card,Regular
TXN003805,ST003,1/8/23,NY,Winter,-2.2,Clear,School Supplies,FALSE,56.67,0.2091,2,Debit Card,Regular
TXN008299,ST001,1/8/23,CA,Winter,11,Rain,Winter Clothing,FALSE,79.16,0.1861,14,Debit Card,Premium
TXN001134,ST003,1/8/23,NY,Winter,8.5,Cloudy,Snow Equipment,FALSE,94.14,0.2142,7,Credit Card,Regular
TXN003013,ST003,1/8/23,NY,Winter,6.7,Sunny,Snow Equipment,FALSE,58.96,0.1712,9,Credit Card,Premium
TXN007820,ST005,1/8/23,IL,Winter,21.9,Mild,Holiday Decorations,FALSE,54.92,0.2552,9,Debit Card,Regular
TXN006743,ST004,1/8/23,FL,Winter,-3.4,Cloudy,Air Conditioners,FALSE,38.15,0.3042,4,Cash,Premium
TXN000315,ST002,1/8/23,TX,Winter,7.3,Snow,Allergy Medicine,FALSE,120.51,0.2354,7,Cash,Regular
TXN000738,ST004,1/8/23,FL,Winter,11.2,Cold,Heaters,FALSE,64.45,0.2356,9,Cash,Premium
TXN006094,ST002,1/8/23,TX,Winter,4.5,Rain,Winter Clothing,FALSE,68.4,0.2986,10,Debit Card,Regular
TXN004105,ST004,1/9/23,FL,Winter,16.9,Rain,Heaters,FALSE,74.53,0.274,9,Cash,Premium
TXN000536,ST003,1/9/23,NY,Winter,10.5,Partly Cloudy,Swimming Gear,FALSE,51.82,0.1827,13,Cash,Premium
TXN005229,ST003,1/9/23,NY,Winter,7.2,Clear,Winter Clothing,FALSE,64.77,0.22,7,Cash,Regular
TXN009822,ST002,1/9/23,TX,Winter,5.3,Snow,School Supplies,FALSE,87.13,0.2808,13,Credit Card,Premium
TXN002619,ST005,1/9/23,IL,Winter,6.3,Rain,Snow Equipment,FALSE,112.53,0.2678,5,Digital Wallet,Regular
TXN006731,ST001,1/9/23,CA,Winter,9.3,Partly Cloudy,Home Decor,FALSE,64.66,0.1841,13,Credit Card,Regular
TXN000931,ST001,1/9/23,CA,Winter,7.4,Partly Cloudy,Holiday Decorations,FALSE,49.18,0.1547,7,Cash,New
TXN004929,ST001,1/9/23,CA,Winter,10.4,Partly Cloudy,Hot Beverages,FALSE,67.55,0.2234,10,Debit Card,Regular
TXN004338,ST003,1/9/23,NY,Winter,8.8,Partly Cloudy,Cleaning Supplies,FALSE,70,0.1992,6,Cash,Regular
